userId,movieId,rating,timestamp
66490,783,1.0,1996-08-26 12:36:19
46439,589,5.0,2004-08-04 16:27:26
109575,3082,4.0,1999-11-28 02:57:42
127138,3044,3.5,2013-06-07 12:18:15
112007,4025,0.5,2005-12-20 20:42:52
17093,3176,4.5,2006-08-02 18:53:29
27771,4701,4.0,2002-01-13 11:20:31
107376,6350,3.5,2004-07-07 02:32:40
66401,111743,3.5,2014-06-01 09:19:23
14253,3481,5.0,2004-06-09 16:02:59
130622,1101,2.0,2010-11-02 13:32:12
54364,788,5.0,1999-05-30 00:03:02
58228,6852,4.0,2004-05-05 09:20:00
128653,804,4.0,1997-01-28 19:05:58
44070,2080,5.0,2012-09-11 14:28:29
100886,3785,3.0,2008-10-13 16:40:42
35653,1196,4.5,2003-05-24 02:44:00
72718,22,3.0,1996-06-21 16:31:04
61408,39052,4.0,2006-04-22 09:21:53
24893,653,2.0,1999-12-04 23:23:32
76959,52424,0.5,2010-03-13 15:42:48
133501,4011,4.5,2014-12-22 15:11:53
53173,34,5.0,1996-06-26 11:31:35
56883,4954,2.0,2002-08-11 05:50:54
107943,4896,3.0,2001-11-27 16:19:22
119718,5615,3.0,2010-12-13 17:28:55
119610,784,3.5,2006-03-21 06:04:01
9389,3988,3.0,2010-09-07 00:15:18
4003,2428,3.0,2000-07-04 12:18:05
41859,4126,2.0,2002-07-16 12:12:46
82352,2426,2.0,2000-08-06 05:40:55
85517,648,4.0,1998-02-25 16:10:26
52930,2028,3.5,2003-11-26 04:07:33
117315,7382,4.5,2009-03-28 15:12:13
47897,19,3.0,1996-06-20 15:37:48
81806,111,3.0,2003-02-10 21:18:26
78763,6380,4.0,2010-07-24 10:28:08
83509,2789,3.0,2000-04-23 05:46:57
104141,2908,5.0,1999-12-14 01:54:01
133177,1208,4.5,2010-04-25 22:24:31
43009,1380,3.0,2000-04-25 16:16:01
4910,66934,3.0,2014-11-29 01:02:59
133881,1263,4.0,2004-09-26 03:08:21
47775,6383,3.0,2006-04-01 20:29:05
115417,3285,3.5,2005-10-28 09:31:56
21058,85342,5.0,2014-05-10 16:12:13
40208,1711,4.0,2004-11-17 06:29:54
73161,1,5.0,2000-12-29 15:16:10
79142,24,2.0,2007-10-22 04:35:44
60136,1,5.0,1997-04-05 09:31:49
96063,2396,4.0,2013-09-15 15:48:22
84681,5992,3.0,2010-06-28 21:07:19
27073,2789,2.0,2002-12-28 23:01:43
138099,318,4.5,2011-09-04 18:12:17
6111,1345,4.0,2010-08-10 01:13:02
114267,2081,2.0,2012-04-28 16:52:17
33258,1639,3.0,2000-11-22 04:04:46
19008,1198,5.0,2001-10-03 18:32:45
27574,104,5.0,2001-02-15 18:03:04
105631,296,4.0,1996-06-04 03:28:05
136868,260,3.0,1997-04-02 18:14:52
117337,1682,3.5,2004-11-13 04:01:56
43343,5669,4.5,2005-10-01 18:45:47
92669,376,3.0,1997-03-08 14:03:44
52437,2539,3.5,2009-07-14 07:14:10
